usd_cleaning_fee,f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,price,neighbourhood_cleansed,cancellation_policy,room_type,property_type
NA,Apartment,Private room,flexible,Real Bed,Hackney,60,0,2,1,NA,0,1,NA,0,2,1,NA,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,60,Hackney,flexible,Private room,Apartment
100,House,Entire home/apt,moderate,Real Bed,Hackney,214,NA,8,2,100,1,1,0.47,0,4,6,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,214,Hackney,moderate,Entire home/apt,House
10,Apartment,Entire home/apt,flexible,Real Bed,Hackney,65,100,2,1,100,8,1,0.88,0,1,1,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,65,Hackney,flexible,Entire home/apt,Apartment
NA,Apartment,Entire home/apt,flexible,Real Bed,Hackney,150,100,4,1,NA,1,1,0.18,0,4,2,164,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,150,Hackney,flexible,Entire home/apt,Apartment
29,Apartment,Entire home/apt,strict,Real Bed,Hackney,63,100,4,1,90,8,2,0.17,9,2,1,1433,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,63,Hackney,strict,Entire home/apt,Apartment
NA,House,Private room,moderate,Real Bed,Hackney,45,NA,2,1,93,3,1,0.38,5,1,1,237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,45,Hackney,moderate,Private room,House
195,House,Entire home/apt,strict,Real Bed,Hackney,750,79,16,7.5,93,8,1,0.34,0,2,14,708,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,750,Hackney,strict,Entire home/apt,House
15,Apartment,Private room,moderate,Real Bed,Hackney,28,NA,1,2,100,1,1,0.05,15,1,1,567,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,28,Hackney,moderate,Private room,Apartment
NA,House,Private room,flexible,Real Bed,Hackney,69,100,2,1,90,2,1,2,0,2,1,21,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,69,Hackney,flexible,Private room,House
NA,Apartment,Private room,strict,Real Bed,Hackney,28,NA,1,0,NA,0,1,NA,0,7,1,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,28,Hackney,strict,Private room,Apartment
